Team,TM
76ers,PHI
Blackhawks,TRI
Bobcats,CHA
Bommers,STB
Braves,BLB
Braves,BUF
Bucks,MIL
Bullets,BAL
Bullets,WSB
Bulls,CHI
Capitals,WSC
Cavaliers,CLE
Celtics,BOS
Clippers,LAC
Clippers,SDC
Grizzlies,MEM
Grizzlies,VAN
Hawks,ATL
Hawks,STL
Heat,MIA
Hornets,CHH
Hornets,CHO
Hornets,NOH
Hornets,NOK
Huskies,TOT
Jazz,NOJ
Jazz,UTA
Kings,KCK
Kings,KCO
Kings,MLH
Kings,SAC
Knicks,NYK
Lakers,LAL
Lakers,MNL
Magic,ORL
Mavericks,DAL
Nationals,SYR
Nets,BRK
Nets,NJN
Nets,NYN
Nuggets,DEN
Pacers,IND
Packers,CHP
Pelicans,NOP
Pistons,DET
Pistons,FTW
Raptors,TOR
Rockets,HOU
Rockets,SDR
Royals,CIN
Royals,ROC
Spurs,SAS
Stags,CHS
Suns,PHO
Supersonics,SEA
Thunder,OKC
Timberwolves,MIN
Trail Blazers,POR
Warriors,GSW
Warriors,PHW
Warriors,SFW
Wizards,WAS
Zephers,CHZ
